ID,hatch_year,mother,father,alive,missing,sex,original_entry
Adelaide,2016,Kuia,Kumi,TRUE,FALSE,F,"Adelaide – hatched: 2016; mother: Kuia, father: Kumi"
Aparima,2002,Wendy,Waynebo,TRUE,FALSE,F,"Aparima – hatched: 2002; mother: Wendy, father: Waynebo; mother of JEM '08"
Aranga,1999,Lisa,Ox,TRUE,FALSE,F,"Aranga – hatched: 1999; mother: Lisa, father: Ox;[citation needed] mother of Jack '09, Waikawa '11, Percy, Clout '16[18]"
Atareta,2011,Lisa,Blades,TRUE,FALSE,F,"Atareta – hatched: 2011; mother: Lisa, father: Blades[13]"
Aumaria,2016,Stella,Blake,TRUE,FALSE,F,"Aumaria – hatched: 2016; mother: Stella, father: Blake[19]"
Awarua,2009,Kuihi,Barnard,TRUE,FALSE,F,"Awarua – hatched: 2009; mother: Kuihi, father: Barnard[18]"
Boomer,1999,Zephyr,Felix,TRUE,FALSE,F,"Boomer – hatched: 1999; mother: Zephyr, father: Felix"
Dusky,2016,Tiwhiri,Horton,TRUE,FALSE,F,"Dusky – hatched: 2016; mother: Tiwhiri, father: Horton"
Esperance,2002,Flossie,Bill,TRUE,FALSE,F,"Esperance – hatched: 2002; mother: Flossie, father: Bill; mother of Huhana '09"
Evohe,2009,Zephyr,Felix,TRUE,FALSE,F,"Evohe – hatched: 2009; mother: Zephyr, father: Felix[18]"
Gertrude,2016,Kuia,Blake,TRUE,FALSE,F,"Gertrude – hatched: 2016; mother: Kuia, father: Blake[19]"
Hakatere,2011,Flossie,Barnard,TRUE,FALSE,F,"Hakatere – hatched: 2011; mother: Flossie, father: Barnard[13]"
Hananui,2002,Lisa,Blades,TRUE,FALSE,F,"Hananui – hatched: 2002; mother: Lisa, father: Blades; mother of Wharetutu, Wolf '09"
Hauturu,1999,Lisa,Ox,TRUE,FALSE,F,"Hauturu – hatched: 1999; mother: Lisa, father: Ox"
Heather,1981,Flossie,Ben,TRUE,FALSE,F,"Heather – hatched: 1981; mother: Flossie, father: Ben; mother of Palmer-san, Robbie '02; Guapo, Awhero '09; Mahli, Tohu '14"
Hera,2016,Suzanne,Arab,TRUE,FALSE,F,"Hera – hatched: 2016; mother Suzanne, father Arab"
Hinemoa,2009,Sue,Basil,TRUE,FALSE,F,"Hinemoa – hatched: 2009; mother: Sue, father: Basil[18]"
Hine Taumai,2002,Wendy,Waynebo,TRUE,FALSE,F,"Hine taumai – hatched: 2002; mother: Wendy, father: Waynebo; mother of Te Here, Tuterangi, Titapu'16"
Hoki,1992,Zephyr,Felix,TRUE,FALSE,F,"Hoki – hatched: 1992; mother: Zephyr, father: Felix (Hand raised; subject of a book by her caretaker)"
Huhana,2009,Esperance,Whiskas,TRUE,FALSE,F,"Huhana – hatched: 2009; mother: Esperance, father: Whiskas; mother of Moorhouse '14 (Youngest breeding female ever)[18]"
Ihi,2011,Solstice,Waynebo,TRUE,FALSE,F,"Ihi – hatched: 2011; mother: Solstice, father: Waynebo[13]"
JEM,2008,Aparima,Bill,TRUE,FALSE,F,"JEM – hatched: 2008; mother: Aparima, father: Bill[9]"
Jemma,2009,Pearl,Stumpy,TRUE,FALSE,F,"Jemma – hatched: 2009; mother: Pearl, father: Stumpy (by artificial insemination)[18]"
Konini,2002,Fuchsia,Waynebo,TRUE,FALSE,F,"Konini – hatched: 2002; mother: Fuchsia, father: Waynebo; mother of Hugh '16"
Kuia,1998,Flossie,Richard Henry,TRUE,FALSE,F,"Kuia – hatched: 1998; mother: Flossie, father: Richard Henry; mother of Gertrude, Marian, Adeliade, Henry '16"
Kuihi,2002,Jean,Sass,TRUE,FALSE,F,"Kuihi – hatched: 2002; mother: Jean, father: Sass; mother of Awarua, Waihopai, Hokonui '09, Oraka '16"
Kura,2016,Tumeke,Boss,TRUE,FALSE,F,"Kura – hatched: 2016; mother: Tumeke, father Boss"
Mahli,2014,Heather,Dobbie,TRUE,FALSE,F,"Mahli – hatched: 2014; mother: Heather, father: Dobbie"
Makoera,2016,Waikawa,Kumi,TRUE,FALSE,F,"Makoera – hatched: 2016; mother: Waikawa, father Kumi"
Marama,2002,Margaret-Maree,Nog,TRUE,FALSE,F,"Marama – hatched: 2002; mother: Margaret-Maree, father: Nog"
Marian,2016,Kuia,Kumi,TRUE,FALSE,F,"Marian – hatched: 2016; mother: Kuia, father: Kumi"
Mila,2002,Margaret-Maree,Nog,TRUE,FALSE,F,"Mila – hatched: 2002; mother: Margaret-Maree, father: Nog"
Millie,2009,Margaret-Maree,Merty,TRUE,FALSE,F,"Millie – hatched: 2009; mother: Margaret-Maree, father: Merty[18]"
Mukeke,2016,Waa,Blake,TRUE,FALSE,F,"Mukeke – hatched: 2016; mother: Waa, father: Blake[19]"
Ninihi,2016,Stella,Blake,TRUE,FALSE,F,"Ninihi – hatched: 2016; mother: Stella, father: Blake[19]"
Pearl,2002,Alice,Waynebo,TRUE,FALSE,F,"Pearl – hatched: 2002; mother: Alice, father: Waynebo; mother of Juanma, Jemma '09; Punga, Attenborough, Faulkner '16"
Pounamu,2005,Sarah,Waynebo,TRUE,FALSE,F,"Pounamu – hatched: 2005; mother: Sara, father: Waynebo"
Punga,2016,Pearl,Felix,TRUE,FALSE,F,"Punga – hatched: 2016; mother: Pearl, father: Felix"
Pura,2005,Flossie,Bill,TRUE,FALSE,F,"Pura – hatched: 2005; mother: Flossie, father: Bill"
Queenie,2009,Cyndy,Ox,TRUE,FALSE,F,"Queenie – hatched: 2009; mother: Cyndy, father: Ox[18]"
Ra,2009,Solstice,Smoko,TRUE,FALSE,F,"Ra – hatched: 2009; mother: Solstice, father: Smoko (by artificial insemination)[18]"
Rakiura,2002,Flossie,Bill,TRUE,FALSE,F,"Rakiura – hatched: 2002; mother: Flossie, father: Bill; mother of Toititi '08; Tamahou, Tiaho, Te Atapo '09; Taonga, Tia, Tutoko '11; Taeatanga, Te Awa '14[18]"
Rimu,2016,Wendy,Unk,TRUE,FALSE,F,Rimu – hatched: 2016; mother: Wendy
Roha,2009,Bella,Blades,TRUE,FALSE,F,"Roha – hatched: 2009; mother: Bella, father: Blades[18]"
Stella,2011,Solstice,Waynebo,TRUE,FALSE,F,"Stella – hatched: 2011; mother: Solstice, father: Waynebo; mother of Ninihi, Kokoto, Aumaria '16 [13]"
Tia,2011,Rakiura,Barnard,TRUE,FALSE,F,"Tia – hatched: 2011; mother: Rakiura, father: Barnard[13]"
Tiaka,2009,Bella,Blades,TRUE,FALSE,F,"Tiaka – hatched: 2009; mother: Bella, father: Blades[18]"
Titapu,2016,Hine Taumai,Takitimu,TRUE,FALSE,F,"Titapu – hatched: 2016; mother: Hine Taumai, father: Takitimu"
Tiwhiri,2009,Lisa,Basil,TRUE,FALSE,F,"Tiwhiri – hatched: 2009; mother: Lisa, father: Basil; mother of Dusky '16[18]"
Toitiiti,2008,Rakiura,Ox,TRUE,FALSE,F,"Toitiiti – hatched: 2008; mother: Rakiura, father: Ox[9]"
Tohu,2014,Heather,Dobbie,TRUE,FALSE,F,"Tohu – hatched: 2014; mother: Heather, father: Dobbie"
Tukaha,2016,Ruth,Blades,TRUE,FALSE,F,"Tukaha – hatched 2016; mother: Ruth, father: Blades"
